,STR9,STR5,STR7,STR3,STR1,STR10,STR4,STR2,STR11,STR8
390,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347_R,0.958041958041958,0.666666666666666,0.897058823529411,0.0,1.0,0.73641304347826,0.0,0.5,0.743073047858942,0.989583333333333
395,1.0,0.0,0.923076923076923,0.0,0.0,0.911111111111111,0.0,1.0,0.866666666666666,0.933333333333333
399,0.963636363636363,0.0,0.95578231292517,0.0,0.0,0.874172185430463,0.0,0.375,0.841134751773049,0.990384615384615
353_novaseq,0.980306345733041,0.2,0.905109489051094,0.0,0.0,0.0,0.0,0.375,0.790311418685121,0.978640776699029
403,0.986842105263157,0.5,0.973684210526315,0.0,0.0,0.829629629629629,0.0,0.5,0.886363636363636,0.978947368421052
407,1.0,0.0,0.875,0.0,0.0,0.916666666666666,0.0,1.0,0.857142857142857,1.0
411,1.0,1.0,0.861111111111111,0.0,0.0,0.763779527559055,0.0,0.0,0.720338983050847,1.0
415,0.96,0.0,0.894117647058823,0.0,0.0,0.726966292134831,0.0,0.428571428571428,0.736842105263157,0.980861244019138
416,0.981981981981981,1.0,0.8984375,0.0,0.0,0.42754491017964,0.0,0.2,0.44640605296343,0.992094861660079
417,0.956521739130434,0.5,0.985915492957746,1.0,0.0,0.892473118279569,0.0,1.0,0.895238095238095,0.964912280701754
418,0.96694214876033,0.666666666666666,0.916666666666666,0.0,0.0,0.760736196319018,0.0,0.333333333333333,0.790940766550522,0.991071428571428
419,1.0,0.5,0.96078431372549,0.0,0.0,0.523809523809523,0.0,1.0,0.476190476190476,0.959183673469387
420,0.909090909090909,0.0,1.0,0.0,0.0,0.471698113207547,0.0,1.0,0.465116279069767,1.0
351_R,0.930337078651685,0.318181818181818,0.918346774193548,0.0,1.0,0.779556650246305,0.0,0.571428571428571,0.737484737484737,0.966033966033966
431,0.955555555555555,0.5,0.92156862745098,0.0,0.0,0.798319327731092,0.0,0.285714285714285,0.722222222222222,0.978260869565217
435,1.0,0.0,1.0,0.0,0.0,0.739130434782608,0.0,1.0,0.925925925925925,1.0
438,0.894736842105263,1.0,0.96551724137931,0.0,0.0,0.739130434782608,0.0,1.0,0.655172413793103,1.0
350_R,0.985074626865671,0.0,0.87037037037037,0.0,0.0,0.719745222929936,1.0,1.0,0.804232804232804,0.981308411214953
441,0.928571428571428,0.0,0.826086956521739,0.0,0.0,0.653846153846153,0.0,0.0,0.655172413793103,1.0
447,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
453,0.888888888888888,1.0,0.961538461538461,0.0,0.0,0.833333333333333,0.0,0.0,0.846153846153846,0.978723404255319
457,1.0,0.0,1.0,0.0,0.0,0.702380952380952,0.0,0.333333333333333,0.776595744680851,1.0
353_R_nanopore,0.333333333333333,0.3125,0.222222222222222,0.0625,0.0333333333333333,0.31578947368421,0.0303030303030303,0.448275862068965,0.285714285714285,0.209302325581395
345,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.904761904761904,1.0
347,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0
353_R_miseq,0.961240310077519,0.3,0.909655448717948,1.0,0.333333333333333,0.771156558533145,1.0,0.328125,0.751164958061509,0.962415911085112
349,0.958333333333333,1.0,0.906976744186046,0.0,0.0,0.736164736164736,0.0,0.0,0.726817042606516,0.968
350,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
352,1.0,0.0,1.0,0.0,0.0,0.933333333333333,0.0,1.0,0.844444444444444,1.0
351,0.975,0.4,0.972727272727272,0.0,0.0,0.871287128712871,0.0,0.5,0.87906976744186,0.979591836734693
352_R,0.957142857142857,1.0,0.9375,0.0,0.0,0.783018867924528,0.0,0.4,0.775193798449612,1.0
349_R,0.967581475128644,0.3125,0.915638450502152,0.2,1.0,0.709794988610478,0.25,0.243445692883895,0.712995979060769,0.98045379989065
353_R_novaseq,0.959364548494983,0.295154185022026,0.920707915273132,0.333333333333333,0.5,0.780056161431463,0.5,0.25,0.779668998923573,0.982633863965267
